url,"date_mday",totalbytes
"http://antivirus.cn.cisco.com/dats/CommonUpdater//SiteStat.xml",21,31988
"http://antivirus.cn.cisco.com/dats/CommonUpdater//SiteStat.xml",22,33020
"http://antivirus.cn.cisco.com/dats/CommonUpdater//SiteStat.xml",23,33533
"http://antivirus.cn.cisco.com/dats/CommonUpdater//SiteStat.xml",24,32021
"http://antivirus.cn.cisco.com/dats/CommonUpdater//catalog.z",18,4089
"http://antivirus.cn.cisco.com/dats/CommonUpdater//catalog.z",19,2055
"http://antivirus.cn.cisco.com/dats/CommonUpdater//catalog.z",20,6141
"http://antivirus.cn.cisco.com/dats/CommonUpdater//catalog.z",21,2055
"http://antivirus.cn.cisco.com/dats/CommonUpdater//catalog.z",22,6135
"http://antivirus.cn.cisco.com/dats/CommonUpdater//catalog.z",23,4110
"http://antivirus.cn.cisco.com/dats/CommonUpdater//catalog.z",24,2055
"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab?4ac011d9585498c9",23,54459
"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?15fefe3cf06b4e2d",22,334
"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?46d6908b40be7f58",18,334
"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?7755fc10ecfb4289",19,334
"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?7ef02af28e7faf53",20,269
"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?8027da984b50214b",24,334
"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?9b8554318559a908",23,334
"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?a22f0094f408c502",23,334
"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?b603846421c3923a",21,334
"http://download.windowsupdate.com/msdownload/update/common/2013/10/9786839_760f710af73419f3203cbae2bc680b1afa744d60.cab",22,8867
"http://download.windowsupdate.com/v9/1/windowsupdate/b/selfupdate/WSUS3/x64/Vista/wsus3setup.cab?1310180451",18,441
"http://download.windowsupdate.com/v9/1/windowsupdate/b/selfupdate/WSUS3/x64/Vista/wsus3setup.cab?1310190052",19,441
"http://download.windowsupdate.com/v9/1/windowsupdate/b/selfupdate/WSUS3/x64/Vista/wsus3setup.cab?1310192006",20,441
"http://download.windowsupdate.com/v9/1/windowsupdate/b/selfupdate/WSUS3/x64/Vista/wsus3setup.cab?1310201618",21,441
"http://download.windowsupdate.com/v9/1/windowsupdate/b/selfupdate/WSUS3/x64/Vista/wsus3setup.cab?1310211156",21,441
"http://download.windowsupdate.com/v9/1/windowsupdate/b/selfupdate/WSUS3/x64/Vista/wsus3setup.cab?1310220839",22,441
"http://download.windowsupdate.com/v9/1/windowsupdate/b/selfupdate/WSUS3/x64/Vista/wsus3setup.cab?1310230231",23,441
"http://download.windowsupdate.com/v9/1/windowsupdate/b/selfupdate/WSUS3/x64/Vista/wsus3setup.cab?1310232053",24,441
"http://download.windowsupdate.com/v9/1/windowsupdate/redir/muv4wuredir.cab?1310180451",18,1323
"http://download.windowsupdate.com/v9/1/windowsupdate/redir/muv4wuredir.cab?1310190052",19,1323
"http://download.windowsupdate.com/v9/1/windowsupdate/redir/muv4wuredir.cab?1310192006",20,1323
"http://download.windowsupdate.com/v9/1/windowsupdate/redir/muv4wuredir.cab?1310201618",21,1323
"http://download.windowsupdate.com/v9/1/windowsupdate/redir/muv4wuredir.cab?1310211156",21,1323
"http://download.windowsupdate.com/v9/1/windowsupdate/redir/muv4wuredir.cab?1310220838",22,441
"http://download.windowsupdate.com/v9/1/windowsupdate/redir/muv4wuredir.cab?1310220839",22,882
"http://download.windowsupdate.com/v9/1/windowsupdate/redir/muv4wuredir.cab?1310230231",23,1323
"http://download.windowsupdate.com/v9/1/windowsupdate/redir/muv4wuredir.cab?1310232053",24,1323
"http://mscrl.microsoft.com/pki/mscorp/crl/MSIT%20Machine%20Auth%20CA%202(1).crl",18,309
"http://mscrl.microsoft.com/pki/mscorp/crl/MSIT%20Machine%20Auth%20CA%202(1).crl",19,29966
"http://mscrl.microsoft.com/pki/mscorp/crl/MSIT%20Machine%20Auth%20CA%202(1).crl",20,309
"http://mscrl.microsoft.com/pki/mscorp/crl/MSIT%20Machine%20Auth%20CA%202(1).crl",21,309
"http://mscrl.microsoft.com/pki/mscorp/crl/MSIT%20Machine%20Auth%20CA%202(1).crl",22,618
"http://mscrl.microsoft.com/pki/mscorp/crl/MSIT%20Machine%20Auth%20CA%202(1).crl",23,30446
"http://mscrl.microsoft.com/pki/mscorp/crl/MSIT%20Machine%20Auth%20CA%202(1).crl",24,925
"http://mscrl.microsoft.com/pki/mscorp/crl/mswww(6).crl",18,309
"http://mscrl.microsoft.com/pki/mscorp/crl/mswww(6).crl",19,309
"http://mscrl.microsoft.com/pki/mscorp/crl/mswww(6).crl",20,309
"http://mscrl.microsoft.com/pki/mscorp/crl/mswww(6).crl",21,309
"http://mscrl.microsoft.com/pki/mscorp/crl/mswww(6).crl",22,618
"http://mscrl.microsoft.com/pki/mscorp/crl/mswww(6).crl",23,927
"http://mscrl.microsoft.com/pki/mscorp/crl/mswww(6).crl",24,925
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/BOCVSE__1000/DAT/0000/PkgCatalog.z",18,21708
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/BOCVSE__1000/DAT/0000/PkgCatalog.z",19,21708
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/BOCVSE__1000/DAT/0000/PkgCatalog.z",20,21708
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/BOCVSE__1000/DAT/0000/PkgCatalog.z",21,21708
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/BOCVSE__1000/DAT/0000/PkgCatalog.z",22,21708
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/BOCVSE__1000/DAT/0000/PkgCatalog.z",23,21708
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/BOCVSE__1000/DAT/0000/PkgCatalog.z",24,21708
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/EPOAGENT3000META/Plugin/0000/PkgCatalog.z",18,31788
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/EPOAGENT3000META/Plugin/0000/PkgCatalog.z",19,31788
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/EPOAGENT3000META/Plugin/0000/PkgCatalog.z",20,31788
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/EPOAGENT3000META/Plugin/0000/PkgCatalog.z",21,31788
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/EPOAGENT3000META/Plugin/0000/PkgCatalog.z",22,31788
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/EPOAGENT3000META/Plugin/0000/PkgCatalog.z",23,31788
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/EPOAGENT3000META/Plugin/0000/PkgCatalog.z",24,31788
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/EXTRADAT1000/ExtraDAT/0000/PkgCatalog.z",18,3289
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/EXTRADAT1000/ExtraDAT/0000/PkgCatalog.z",22,3401
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/EXTRADAT1000/ExtraDAT/0000/PkgCatalog.z",23,3570
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/EXTRADAT1000/ExtraDAT/0000/extra.dat",18,514275
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/EXTRADAT1000/ExtraDAT/0000/extra.dat",22,526650
"http://stleonards-lvl5-acns-ce1.ce.antivirus.cn.cisco.com/dats/CommonUpdater//Current/EXTRADAT1000/ExtraDAT/0000/extra.dat",23,549054
