service,port,protocol
hybrid,1424,udp
hybrid,1424,tcp
sais,1426,udp
sais,1426,tcp
mloadd,1427,udp
mloadd,1427,tcp
nms,1429,udp
nms,1429,tcp
tpdu,1430,udp
tpdu,1430,tcp
rgtp,1431,udp
rgtp,1431,tcp
saism,1436,udp
saism,1436,tcp
tabula,1437,udp
tabula,1437,tcp
peport,1449,udp
peport,1449,tcp
dwf,1450,udp
dwf,1450,tcp
infoman,1451,udp
infoman,1451,tcp
interhdl_elmd,1454,udp
interhdl_elmd,1454,tcp
dca,1456,udp
dca,1456,tcp
proshare1,1459,udp
proshare1,1459,tcp
proshare2,1460,udp
proshare2,1460,tcp
ibm_wrless_lan,1461,udp
ibm_wrless_lan,1461,tcp
nucleus,1463,udp
nucleus,1463,tcp
msl_lmd,1464,udp
msl_lmd,1464,tcp
pipes,1465,udp
pipes,1465,tcp
csdmbase,1467,udp
csdmbase,1467,tcp
csdm,1468,udp
csdm,1468,tcp
uaiact,1470,udp
uaiact,1470,tcp
csdmbase,1471,udp
csdmbase,1471,tcp
csdm,1472,udp
csdm,1472,tcp
openmath,1473,udp
openmath,1473,tcp
telefinder,1474,udp
telefinder,1474,tcp
dberegister,1479,udp
dberegister,1479,tcp
pacerforum,1480,udp
pacerforum,1480,tcp
airs,1481,udp
airs,1481,tcp
afs,1483,udp
afs,1483,tcp
confluent,1484,udp
confluent,1484,tcp
lansource,1485,udp
lansource,1485,tcp
nms_topo_serv,1486,udp
nms_topo_serv,1486,tcp
localinfosrvr,1487,udp
localinfosrvr,1487,tcp
docstor,1488,udp
docstor,1488,tcp
dmdocbroker,1489,udp
dmdocbroker,1489,tcp
anynetgateway,1491,udp
anynetgateway,1491,tcp
netmap_lm,1493,udp
netmap_lm,1493,tcp
ica,1494,udp
ica,1494,tcp
cvc,1495,udp
cvc,1495,tcp
fhc,1499,udp
fhc,1499,tcp
saiscm,1501,udp
saiscm,1501,tcp
shivadiscovery,1502,udp
shivadiscovery,1502,tcp
funkproxy,1505,udp
funkproxy,1505,tcp
utcd,1506,udp
utcd,1506,tcp
symplex,1507,udp
symplex,1507,tcp
diagmond,1508,udp
diagmond,1508,tcp
wins,1512,udp
wins,1512,tcp
vpad,1516,udp
vpad,1516,tcp
vpac,1517,udp
vpac,1517,tcp
vpvd,1518,udp
vpvd,1518,tcp
vpvc,1519,udp
vpvc,1519,tcp
ingreslock,1524,udp
ingreslock,1524,tcp
orasrv,1525,udp
orasrv,1525,tcp
tlisrv,1527,udp
tlisrv,1527,tcp
mciautoreg,1528,udp
mciautoreg,1528,tcp
coauthor,1529,udp
coauthor,1529,tcp
miroconnect,1532,udp
miroconnect,1532,tcp
rds,1540,udp
rds,1540,tcp
rds2,1541,udp
rds2,1541,tcp
aspeclmd,1544,udp
aspeclmd,1544,tcp
abbaccuray,1546,udp
abbaccuray,1546,tcp
laplink,1547,udp
laplink,1547,tcp
shivasound,1549,udp
shivahose,1549,tcp
pciarray,1552,udp
pciarray,1552,tcp
livelan,1555,udp
livelan,1555,tcp
ashwin,1556,udp
ashwin,1556,tcp
xingmpeg,1558,udp
xingmpeg,1558,tcp
web2host,1559,udp
web2host,1559,tcp
facilityview,1561,udp
facilityview,1561,tcp
pconnectmgr,1562,udp
pconnectmgr,1562,tcp
winddlb,1565,udp
winddlb,1565,tcp
corelvideo,1566,udp
corelvideo,1566,tcp
jlicelmd,1567,udp
jlicelmd,1567,tcp
tsspmap,1568,udp
tsspmap,1568,tcp
ets,1569,udp
ets,1569,tcp
orbixd,1570,udp
orbixd,1570,tcp
oraclenames,1575,udp
oraclenames,1575,tcp
msims,1582,udp
msims,1582,tcp
simbaexpress,1583,udp
simbaexpress,1583,tcp
intv,1585,udp
intv,1585,tcp
pra_elmd,1587,udp
pra_elmd,1587,tcp
vqp,1589,udp
vqp,1589,tcp
commonspace,1592,udp
commonspace,1592,tcp
sixtrak,1594,udp
sixtrak,1594,tcp
radio,1595,udp
radio,1595,tcp
picknfs,1598,udp
picknfs,1598,tcp
simbaservices,1599,udp
simbaservices,1599,tcp
issd,1600,udp
issd,1600,tcp
aas,1601,udp
aas,1601,tcp
inspect,1602,udp
inspect,1602,tcp
picodbc,1603,udp
picodbc,1603,tcp
icabrowser,1604,udp
icabrowser,1604,tcp
slp,1605,udp
slp,1605,tcp
stt,1607,udp
stt,1607,tcp
ill,1611,udp
ill,1611,tcp
skytelnet,1618,udp
skytelnet,1618,tcp
faxportwinport,1620,udp
faxportwinport,1620,tcp
softdataphone,1621,udp
softdataphone,1621,tcp
ontime,1622,udp
ontime,1622,tcp
jaleosnd,1623,udp
jaleosnd,1623,tcp
shockwave,1626,udp
shockwave,1626,tcp
oraclenet8cman,1630,udp
oraclenet8cman,1630,tcp
visitview,1631,udp
visitview,1631,tcp
pammratc,1632,udp
pammratc,1632,tcp
pammrpc,1633,udp
pammrpc,1633,tcp
loaprobe,1634,udp
loaprobe,1634,tcp
cncp,1636,udp
cncp,1636,tcp
cnap,1637,udp
cnap,1637,tcp
cnip,1638,udp
cnip,1638,tcp
invision,1641,udp
invision,1641,tcp
saiseh,1644,tcp
sightline,1645,udp
sightline,1645,tcp
rsap,1647,udp
rsap,1647,tcp
kermit,1649,udp
kermit,1649,tcp
nkd,1650,udp
nkd,1650,tcp
shiva_confsrvr,1651,udp
shiva_confsrvr,1651,tcp
xnmp,1652,udp
xnmp,1652,tcp
stargatealerts,1654,udp
stargatealerts,1654,tcp
sixnetudr,1658,udp
sixnetudr,1658,tcp
pdp,1675,udp
pdp,1675,tcp
netcomm2,1676,udp
netcomm1,1676,tcp
groupwise,1677,udp
groupwise,1677,tcp
prolink,1678,udp
prolink,1678,tcp
snaresecure,1684,udp
snaresecure,1684,tcp
n2nremote,1685,udp
n2nremote,1685,tcp
cvmon,1686,udp
cvmon,1686,tcp
firefox,1689,udp
firefox,1689,tcp
rrirtr,1693,udp
rrirtr,1693,tcp
rrimwm,1694,udp
rrimwm,1694,tcp
rrilwm,1695,udp
rrilwm,1695,tcp
rrifmm,1696,udp
rrifmm,1696,tcp
rrisat,1697,udp
rrisat,1697,tcp
l2f,1701,udp
l2f,1701,tcp
deskshare,1702,udp
deskshare,1702,tcp
slingshot,1705,udp
slingshot,1705,tcp
jetform,1706,udp
jetform,1706,tcp
vdmplay,1707,udp
vdmplay,1707,tcp
centra,1709,udp
centra,1709,tcp
impera,1710,udp
impera,1710,tcp
pptconference,1711,udp
pptconference,1711,tcp
registrar,1712,udp
registrar,1712,tcp
conferencetalk,1713,udp
conferencetalk,1713,tcp
xmsg,1716,udp
xmsg,1716,tcp
h323gatedisc,1718,udp
h323gatedisc,1718,tcp
h323gatestat,1719,udp
h323gatestat,1719,tcp
h323hostcall,1720,udp
h323hostcall,1720,tcp
caicci,1721,udp
caicci,1721,tcp
pptp,1723,udp
pptp,1723,tcp
csbphonemaster,1724,udp
csbphonemaster,1724,tcp
iberiagames,1726,udp
iberiagames,1726,tcp
winddx,1727,udp
winddx,1727,tcp
telindus,1728,udp
telindus,1728,tcp
citynl,1729,udp
citynl,1729,tcp
roketz,1730,udp
roketz,1730,tcp
msiccp,1731,udp
msiccp,1731,tcp
proxim,1732,udp
proxim,1732,tcp
siipat,1733,udp
siipat,1733,tcp
privatechat,1735,udp
privatechat,1735,tcp
ultimad,1737,udp
ultimad,1737,tcp
gamegen1,1738,udp
gamegen1,1738,tcp
webaccess,1739,udp
webaccess,1739,tcp
encore,1740,udp
encore,1740,tcp
sslp,1750,udp
sslp,1750,tcp
swiftnet,1751,udp
swiftnet,1751,tcp
cnhrp,1757,udp
cnhrp,1757,tcp
vaultbase,1771,udp
vaultbase,1771,tcp
kmscontrol,1773,udp
kmscontrol,1773,tcp
femis,1776,udp
femis,1776,tcp
powerguardian,1777,udp
powerguardian,1777,tcp
pharmasoft,1779,udp
pharmasoft,1779,tcp
dpkeyserv,1780,udp
dpkeyserv,1780,tcp
windlm,1785,udp
windlm,1785,tcp
psmond,1788,udp
psmond,1788,tcp
hello,1789,udp
hello,1789,tcp
nmsp,1790,udp
nmsp,1790,tcp
ea1,1791,udp
ea1,1791,tcp
uma,1797,udp
uma,1797,tcp
etp,1798,udp
etp,1798,tcp
netrisk,1799,udp
netrisk,1799,tcp
msmq,1801,udp
msmq,1801,tcp
concomp1,1802,udp
concomp1,1802,tcp
enl,1804,udp
enl,1804,tcp
musiconline,1806,udp
musiconline,1806,tcp
fhsp,1807,udp
fhsp,1807,tcp
radius,1812,udp
radius,1812,tcp
mmpft,1815,udp
mmpft,1815,tcp
harp,1816,udp
harp,1816,tcp
etftp,1818,udp
etftp,1818,tcp
mcagent,1820,udp
mcagent,1820,tcp
donnyworld,1821,udp
donnyworld,1821,tcp
ardt,1826,udp
ardt,1826,tcp
asi,1827,udp
asi,1827,tcp
myrtle,1831,udp
myrtle,1831,tcp
udpradio,1833,udp
udpradio,1833,tcp
ardusuni,1834,udp
ardusuni,1834,tcp
ardusmul,1835,udp
ardusmul,1835,tcp
csoft1,1837,udp
csoft1,1837,tcp
talnet,1838,udp
talnet,1838,tcp
altalink,1845,udp
altalink,1845,tcp
fjdocdist,1848,udp
fjdocdist,1848,tcp
gsi,1850,udp
gsi,1850,tcp
ctcd,1851,udp
ctcd,1851,tcp
datacaptor,1857,udp
datacaptor,1857,tcp
privateark,1858,udp
privateark,1858,tcp
gammafetchsvr,1859,udp
gammafetchsvr,1859,tcp
msnp,1863,udp
msnp,1863,tcp
entp,1865,udp
entp,1865,tcp
swrmi,1866,udp
swrmi,1866,tcp
udrive,1867,udp
udrive,1867,tcp
viziblebrowser,1868,udp
viziblebrowser,1868,tcp
yestrader,1869,udp
yestrader,1869,tcp
canocentral0,1871,udp
canocentral0,1871,tcp
canocentral1,1872,udp
canocentral1,1872,tcp
fjmpjps,1873,udp
fjmpjps,1873,tcp
fjswapsnp,1874,udp
fjswapsnp,1874,tcp
ewcappsrv,1876,udp
ewcappsrv,1876,tcp
drmsmc,1878,udp
drmsmc,1878,tcp
ecsqdmn,1882,udp
ecsqdmn,1882,tcp
idmaps,1884,udp
idmaps,1884,tcp
vrtstrapserver,1885,udp
vrtstrapserver,1885,tcp
leoip,1886,udp
leoip,1886,tcp
ncconfig,1888,udp
ncconfig,1888,tcp
wilkenlistener,1890,udp
wilkenlistener,1890,tcp
elad,1893,udp
elad,1893,tcp
metaagent,1897,udp
metaagent,1897,tcp
mc2studios,1899,udp
mc2studios,1899,tcp
ssdp,1900,udp
ssdp,1900,tcp
linkname,1903,udp
linkname,1903,tcp
sugp,1905,udp
sugp,1905,tcp
tpmd,1906,udp
tpmd,1906,tcp
intrastar,1907,udp
intrastar,1907,tcp
dawn,1908,udp
dawn,1908,tcp
ultrabac,1910,udp
ultrabac,1910,tcp
mtp,1911,udp
mtp,1911,tcp
armadp,1913,udp
armadp,1913,tcp
facelink,1915,udp
facelink,1915,tcp
persona,1916,udp
persona,1916,tcp
noagent,1917,udp
noagent,1917,tcp
noadmin,1921,udp
noadmin,1921,tcp
tapestry,1922,udp
tapestry,1922,tcp
spice,1923,udp
spice,1923,tcp
xiip,1924,udp
xiip,1924,tcp
egs,1926,udp
egs,1926,tcp
driveappserver,1930,udp
driveappserver,1930,tcp
amdsched,1931,udp
amdsched,1931,tcp
xmapi,1933,udp
xmapi,1933,tcp
xaapi,1934,udp
xaapi,1934,tcp
jetcmeserver,1936,udp
jetcmeserver,1936,tcp
jwserver,1937,udp
jwserver,1937,tcp
jwclient,1938,udp
jwclient,1938,tcp
jvserver,1939,udp
jvserver,1939,tcp
jvclient,1940,udp
jvclient,1940,tcp
res,1942,udp
res,1942,tcp
tekpls,1946,udp
tekpls,1946,tcp
hlserver,1947,udp
hlserver,1947,tcp
eye2eye,1948,udp
eye2eye,1948,tcp
ismaeasdaqlive,1949,udp
ismaeasdaqlive,1949,tcp
ismaeasdaqtest,1950,udp
ismaeasdaqtest,1950,tcp
mpnjsc,1952,udp
mpnjsc,1952,tcp
rapidbase,1953,udp
rapidbase,1953,tcp
dxadmind,1958,udp
dxadmind,1958,tcp
nasmanager,1960,udp
nasmanager,1960,tcp
webmachine,1963,udp
webmachine,1963,tcp
slush,1966,udp
slush,1966,tcp
lipsinc,1968,udp
lipsinc,1968,tcp
lipsinc1,1969,udp
lipsinc1,1969,tcp
dlsrap,1973,udp
dlsrap,1973,tcp
drp,1974,udp
drp,1974,tcp
tcoflashagent,1975,udp
tcoflashagent,1975,tcp
tcoregagent,1976,udp
tcoregagent,1976,tcp
tcoaddressbook,1977,udp
tcoaddressbook,1977,tcp
unisql,1978,udp
unisql,1978,tcp
p2pq,1981,udp
p2pq,1981,tcp
estamp,1982,udp
estamp,1982,tcp
lhtp,1983,udp
lhtp,1983,tcp
bb,1984,udp
bb,1984,tcp
hsrp,1985,udp
hsrp,1985,tcp
licensedaemon,1986,udp
licensedaemon,1986,tcp
mshnet,1989,udp
mshnet,1989,tcp
ipsendmsg,1992,udp
ipsendmsg,1992,tcp
callbook,2000,udp
callbook,2000,tcp
wizard,2001,udp
dc,2001,tcp
globe,2002,udp
globe,2002,tcp
emce,2004,udp
mailbox,2004,tcp
oracle,2005,udp
berknet,2005,tcp
invokator,2006,tcp
dectalk,2007,tcp
terminaldb,2008,udp
conf,2008,tcp
whosockami,2009,udp
news,2009,tcp
pipe_server,2010,udp
search,2010,tcp
servserv,2011,udp
ttyinfo,2012,tcp
troff,2014,tcp
cypress,2015,tcp
bootserver,2016,udp
bootserver,2016,tcp
bootclient,2017,udp
rellpack,2018,udp
terminaldb,2018,tcp
about,2019,udp
whosockami,2019,tcp
xinupageserver,2020,udp
xinupageserver,2020,tcp
xinuexpansion1,2021,udp
servexec,2021,tcp
xinuexpansion2,2022,udp
down,2022,tcp
xinuexpansion3,2023,udp
xinuexpansion3,2023,tcp
xinuexpansion4,2024,udp
xinuexpansion4,2024,tcp
xribs,2025,udp
ellpack,2025,tcp
scrabble,2026,udp
scrabble,2026,tcp
shadowserver,2027,udp
shadowserver,2027,tcp
submitserver,2028,udp
submitserver,2028,tcp
hsrpv6,2029,tcp
hsrpv6,2029,udp
device2,2030,udp
device2,2030,tcp
blackboard,2032,udp
blackboard,2032,tcp
glogger,2033,udp
glogger,2033,tcp
scoremgr,2034,udp
scoremgr,2034,tcp
imsldoc,2035,udp
imsldoc,2035,tcp
p2plus,2037,udp
p2plus,2037,tcp
objectmanager,2038,udp
objectmanager,2038,tcp
prizma,2039,tcp
prizma,2039,udp
lam,2040,udp
lam,2040,tcp
interbase,2041,udp
interbase,2041,tcp
isis,2042,udp
isis,2042,tcp
rimsl,2044,udp
rimsl,2044,tcp
cdfunc,2045,udp
cdfunc,2045,tcp
sdfunc,2046,udp
sdfunc,2046,tcp
dls,2047,udp
dls,2047,tcp
nfsd,2049,tcp
nfsd,2049,udp
epnsdp,2051,udp
epnsdp,2051,tcp
clearvisn,2052,udp
clearvisn,2052,tcp
weblogin,2054,udp
weblogin,2054,tcp
iop,2055,udp
iop,2055,tcp
omnisky,2056,udp
omnisky,2056,tcp
newwavesearch,2058,udp
newwavesearch,2058,tcp
teleniumdaemon,2060,udp
teleniumdaemon,2060,tcp
netmount,2061,udp
netmount,2061,tcp
dlsrpn,2065,udp
dlsrpn,2065,tcp
aura,2066,tcp
aura,2066,udp
dlswpn,2067,udp
dlswpn,2067,tcp
avauthsrvprtcl,2068,udp
avauthsrvprtcl,2068,tcp
msync,2072,udp
msync,2072,tcp
newlixengine,2075,udp
newlixengine,2075,tcp
newlixconfig,2076,udp
newlixconfig,2076,tcp
trellisagt,2077,udp
trellisagt,2077,tcp
trellissvr,2078,udp
trellissvr,2078,tcp
infowave,2082,udp
infowave,2082,tcp
radsec,2083,tcp
radsec,2083,udp
sunclustergeo,2084,tcp
sunclustergeo,2084,udp
gnunet,2086,udp
gnunet,2086,tcp
eli,2087,udp
eli,2087,tcp
sep,2089,udp
sep,2089,tcp
lrp,2090,udp
lrp,2090,tcp
prp,2091,udp
prp,2091,tcp
descent3,2092,udp
descent3,2092,tcp
jetformpreview,2097,udp
jetformpreview,2097,tcp
amiganetfs,2100,udp
amiganetfs,2100,tcp
minipay,2105,udp
minipay,2105,tcp
mzap,2106,udp
mzap,2106,tcp
comcam,2108,udp
comcam,2108,tcp
ergolight,2109,udp
ergolight,2109,tcp
umsp,2110,udp
umsp,2110,tcp
dsatp,2111,udp
dsatp,2111,tcp
newheights,2114,udp
newheights,2114,tcp
kdm,2115,udp
kdm,2115,tcp
ccowcmr,2116,udp
ccowcmr,2116,tcp
mentaclient,2117,udp
mentaclient,2117,tcp
mentaserver,2118,udp
mentaserver,2118,tcp
gsigatekeeper,2119,udp
gsigatekeeper,2119,tcp
qencp,2120,udp
qencp,2120,tcp
elatelink,2124,udp
elatelink,2124,tcp
lockstep,2125,udp
lockstep,2125,tcp
avantageb2b,2131,udp
avantageb2b,2131,tcp
avenue,2134,udp
avenue,2134,tcp
gris,2135,udp
gris,2135,tcp
appworxsrv,2136,udp
appworxsrv,2136,tcp
connect,2137,udp
connect,2137,tcp
acptsys,2149,udp
acptsys,2149,tcp
dynamic3d,2150,udp
dynamic3d,2150,tcp
docent,2151,udp
docent,2151,tcp
gdbremote,2159,udp
gdbremote,2159,tcp
navisphere,2162,udp
navisphere,2162,tcp
iwserver,2166,udp
iwserver,2166,tcp
brain,2169,tcp
brain,2169,udp
eyetv,2170,tcp
eyetv,2170,udp
airsync,2175,tcp
airsync,2175,udp
rapi,2176,tcp
rapi,2176,udp
qwave,2177,tcp
qwave,2177,udp
bitspeer,2178,tcp
bitspeer,2178,udp
eforward,2181,udp
eforward,2181,tcp
nvd,2184,tcp
nvd,2184,udp
tivoconnect,2190,udp
tivoconnect,2190,tcp
tvbus,2191,udp
tvbus,2191,tcp
asdis,2192,tcp
asdis,2192,udp
ici,2200,udp
ici,2200,tcp
ats,2201,udp
ats,2201,tcp
jps,2205,tcp
jps,2205,udp
hpocbus,2206,tcp
hpocbus,2206,udp
hpssd,2207,tcp
hpssd,2207,udp
hpiod,2208,tcp
hpiod,2208,udp
kali,2213,udp
kali,2213,tcp
rpi,2214,tcp
rpi,2214,udp
ipcore,2215,tcp
ipcore,2215,udp
gotodevice,2217,tcp
gotodevice,2217,udp
bounzza,2218,tcp
bounzza,2218,udp
netiq,2220,udp
netiq,2220,tcp
datalens,2229,tcp
datalens,2229,udp
queueadm,2230,tcp
queueadm,2230,udp
wimaxasncp,2231,tcp
wimaxasncp,2231,udp
infocrypt,2233,udp
infocrypt,2233,tcp
directplay,2234,udp
directplay,2234,tcp
nani,2236,udp
nani,2236,tcp
imagequery,2239,udp
imagequery,2239,tcp
recipe,2240,udp
recipe,2240,tcp
ivsd,2241,udp
ivsd,2241,tcp
foliocorp,2242,udp
foliocorp,2242,tcp
magicom,2243,udp
magicom,2243,tcp
nmsserver,2244,udp
nmsserver,2244,tcp
hao,2245,udp
hao,2245,tcp
antidotemgrsvr,2247,tcp
antidotemgrsvr,2247,udp
ums,2248,udp
ums,2248,tcp
rfmp,2249,udp
rfmp,2249,tcp
seispoc,2254,udp
seispoc,2254,tcp
vrtp,2255,udp
vrtp,2255,tcp
rcts,2258,tcp
rcts,2258,udp
comotionmaster,2261,tcp
comotionmaster,2261,udp
comotionback,2262,tcp
comotionback,2262,udp
ecwcfg,2263,tcp
ecwcfg,2263,udp
mfserver,2266,tcp
mfserver,2266,udp
ontobroker,2267,tcp
ontobroker,2267,udp
amt,2268,tcp
amt,2268,udp
mikey,2269,tcp
mikey,2269,udp
starschool,2270,tcp
starschool,2270,udp
mmcals,2271,tcp
mmcals,2271,udp
mmcal,2272,tcp
mmcal,2272,udp
pcttunnell,2274,tcp
pcttunnell,2274,udp
bluectrlproxy,2277,tcp
bluectrlproxy,2277,udp
s3db,2278,tcp
s3db,2278,udp
xmquery,2279,udp
xmquery,2279,tcp
lnvpoller,2280,udp
lnvpoller,2280,tcp
lnvconsole,2281,udp
lnvconsole,2281,tcp
lnvalarm,2282,udp
lnvalarm,2282,tcp
lnvstatus,2283,udp
lnvstatus,2283,tcp
lnvmaps,2284,udp
lnvmaps,2284,tcp
lnvmailmon,2285,udp
lnvmailmon,2285,tcp
dna,2287,udp
dna,2287,tcp
netml,2288,udp
netml,2288,tcp
eapsp,2291,tcp
eapsp,2291,udp
npdbgmngr,2293,tcp
npdbgmngr,2293,udp
cvmmon,2300,udp
cvmmon,2300,tcp
binderysupport,2302,udp
binderysupport,2302,tcp
pehelp,2307,udp
pehelp,2307,tcp
sdhelp,2308,udp
sdhelp,2308,tcp
sdserver,2309,udp
sdserver,2309,tcp
sdclient,2310,udp
sdclient,2310,tcp
messageservice,2311,udp
messageservice,2311,tcp
wanscaler,2312,tcp
wanscaler,2312,udp
iapp,2313,udp
iapp,2313,tcp
cadencecontrol,2318,udp
cadencecontrol,2318,tcp
infolibria,2319,udp
infolibria,2319,tcp
rdlap,2321,udp
rdlap,2321,tcp
ofsd,2322,udp
ofsd,2322,tcp
cosmocall,2324,udp
cosmocall,2324,tcp
idcp,2326,udp
idcp,2326,tcp
xingcsm,2327,udp
xingcsm,2327,tcp
nvd,2329,udp
nvd,2329,tcp
tscchat,2330,udp
tscchat,2330,tcp
agentview,2331,udp
agentview,2331,tcp
snapp,2333,udp
snapp,2333,tcp
appleugcontrol,2336,udp
appleugcontrol,2336,tcp
ideesrv,2337,udp
ideesrv,2337,tcp
wrs_registry,2340,udp
wrs_registry,2340,tcp
xiostatus,2341,udp
xiostatus,2341,tcp
fcmsys,2344,udp
fcmsys,2344,tcp
dbm,2345,udp
dbm,2345,tcp
redstorm_join,2346,udp
redstorm_join,2346,tcp
redstorm_find,2347,udp
redstorm_find,2347,tcp
redstorm_info,2348,udp
redstorm_info,2348,tcp
redstorm_diag,2349,udp
redstorm_diag,2349,tcp
psbserver,2350,udp
psbserver,2350,tcp
psrserver,2351,udp
psrserver,2351,tcp
pslserver,2352,udp
pslserver,2352,tcp
pspserver,2353,udp
pspserver,2353,tcp
psprserver,2354,udp
psprserver,2354,tcp
psdbserver,2355,udp
psdbserver,2355,tcp
gxtelmd,2356,udp
gxtelmd,2356,tcp
futrix,2358,udp
futrix,2358,tcp
flukeserver,2359,udp
flukeserver,2359,tcp
nexstorindltd,2360,udp
nexstorindltd,2360,tcp
tl1,2361,udp
tl1,2361,tcp
digiman,2362,udp
digiman,2362,tcp
mediacntrlnfsd,2363,udp
mediacntrlnfsd,2363,tcp
dbref,2365,udp
dbref,2365,tcp
opentable,2368,udp
opentable,2368,tcp
worldwire,2371,udp
worldwire,2371,tcp
virtualtape,2386,udp
virtualtape,2386,tcp
vsamredirector,2387,udp
vsamredirector,2387,tcp
mynahautostart,2388,udp
mynahautostart,2388,tcp
ovsessionmgr,2389,udp
ovsessionmgr,2389,tcp
rsmtp,2390,udp
rsmtp,2390,tcp
tacticalauth,2392,udp
tacticalauth,2392,tcp
lan900_remote,2395,udp
lan900_remote,2395,tcp
wusage,2396,udp
wusage,2396,tcp
ncl,2397,udp
ncl,2397,tcp
orbiter,2398,udp
orbiter,2398,tcp
cvspserver,2401,udp
cvspserver,2401,tcp
taskmaster2000,2402,udp
taskmaster2000,2402,tcp
taskmaster2000,2403,udp
taskmaster2000,2403,tcp
jediserver,2406,udp
jediserver,2406,tcp
orion,2407,udp
orion,2407,tcp
optimanet,2408,udp
optimanet,2408,tcp
cdn,2412,udp
cdn,2412,tcp
beeyond,2414,udp
beeyond,2414,tcp
rmtserver,2416,udp
rmtserver,2416,tcp
cas,2418,udp
cas,2418,tcp
crmsbits,2422,udp
crmsbits,2422,tcp
rnrp,2423,udp
rnrp,2423,tcp
fjitsuappmgr,2425,udp
fjitsuappmgr,2425,tcp
ott,2428,udp
ott,2428,tcp
venus,2430,udp
venus,2430,tcp
codasrv,2432,udp
codasrv,2432,tcp
optilogic,2435,udp
optilogic,2435,tcp
topx,2436,udp
topx,2436,tcp
unicontrol,2437,udp
unicontrol,2437,tcp
msp,2438,udp
msp,2438,tcp
sybasedbsynch,2439,udp
sybasedbsynch,2439,tcp
spearway,2440,udp
spearway,2440,tcp
netangel,2442,udp
netangel,2442,tcp
powerclientcsf,2443,udp
powerclientcsf,2443,tcp
btpp2sectrans,2444,udp
btpp2sectrans,2444,tcp
dtn1,2445,udp
dtn1,2445,tcp
bues_service,2446,udp
bues_service,2446,tcp
ovwdb,2447,udp
ovwdb,2447,tcp
hpppssvr,2448,udp
hpppssvr,2448,tcp
ratl,2449,udp
ratl,2449,tcp
netadmin,2450,udp
netadmin,2450,tcp
netchat,2451,udp
netchat,2451,tcp
snifferclient,2452,udp
snifferclient,2452,tcp
griffin,2458,udp
griffin,2458,tcp
community,2459,udp
community,2459,tcp
qadmifoper,2461,udp
qadmifoper,2461,tcp
qadmifevent,2462,udp
qadmifevent,2462,tcp
lbm,2465,udp
lbm,2465,tcp
lbf,2466,udp
lbf,2466,tcp
seaodbc,2471,udp
seaodbc,2471,tcp
c3,2472,udp
c3,2472,tcp
vitalanalysis,2474,udp
vitalanalysis,2474,tcp
lingwood,2480,udp
lingwood,2480,tcp
giop,2481,udp
giop,2481,tcp
ttc,2483,udp
ttc,2483,tcp
netobjects1,2485,udp
netobjects1,2485,tcp
netobjects2,2486,udp
netobjects2,2486,tcp
pns,2487,udp
pns,2487,tcp
tsilb,2489,udp
tsilb,2489,tcp
groove,2492,udp
groove,2492,tcp
dirgis,2496,udp
dirgis,2496,tcp
quaddb,2497,udp
quaddb,2497,tcp
unicontrol,2499,udp
unicontrol,2499,tcp
rtsserv,2500,udp
rtsserv,2500,tcp
rtsclient,2501,udp
rtsclient,2501,tcp
wlbs,2504,udp
wlbs,2504,tcp
ppcontrol,2505,tcp
ppcontrol,2505,udp
jbroker,2506,udp
jbroker,2506,tcp
spock,2507,udp
spock,2507,tcp
jdatastore,2508,udp
jdatastore,2508,tcp
fjmpss,2509,udp
fjmpss,2509,tcp
fjappmgrbulk,2510,udp
fjappmgrbulk,2510,tcp
metastorm,2511,udp
metastorm,2511,tcp
citrixima,2512,udp
citrixima,2512,tcp
citrixadmin,2513,udp
citrixadmin,2513,tcp
maincontrol,2516,udp
maincontrol,2516,tcp
willy,2518,udp
willy,2518,tcp
globmsgsvc,2519,udp
globmsgsvc,2519,tcp
pvsw,2520,udp
pvsw,2520,tcp
adaptecmgr,2521,udp
adaptecmgr,2521,tcp
windb,2522,udp
windb,2522,tcp
iqserver,2527,udp
iqserver,2527,tcp
ncr_ccl,2528,udp
ncr_ccl,2528,tcp
utsftp,2529,udp
utsftp,2529,tcp
vrcommerce,2530,udp
vrcommerce,2530,tcp
ovtopmd,2532,udp
ovtopmd,2532,tcp
snifferserver,2533,udp
snifferserver,2533,tcp
madcap,2535,udp
madcap,2535,tcp
btpp2audctr1,2536,udp
btpp2audctr1,2536,tcp
upgrade,2537,udp
upgrade,2537,tcp
vsiadmin,2539,udp
vsiadmin,2539,tcp
lonworks,2540,udp
lonworks,2540,tcp
lonworks2,2541,udp
lonworks2,2541,tcp
davinci,2542,udp
davinci,2542,tcp
reftek,2543,udp
reftek,2543,tcp
vytalvaultbrtp,2546,udp
vytalvaultbrtp,2546,tcp
vytalvaultvsmp,2547,udp
vytalvaultvsmp,2547,tcp
vytalvaultpipe,2548,udp
vytalvaultpipe,2548,tcp
ipass,2549,udp
ipass,2549,tcp
ads,2550,udp
ads,2550,tcp
efidiningport,2553,udp
efidiningport,2553,tcp
pclemultimedia,2558,udp
pclemultimedia,2558,tcp
lstp,2559,udp
lstp,2559,tcp
labrat,2560,udp
labrat,2560,tcp
mosaixcc,2561,udp
mosaixcc,2561,tcp
delibo,2562,udp
delibo,2562,tcp
clp,2567,udp
clp,2567,tcp
spamtrap,2568,udp
spamtrap,2568,tcp
sonuscallsig,2569,udp
