service,port,protocol
semantix,361,tcp
srssend,362,udp
srssend,362,tcp
rsvp_tunnel,363,udp
rsvp_tunnel,363,tcp
dtk,365,udp
dtk,365,tcp
odmr,366,udp
odmr,366,tcp
mortgageware,367,udp
mortgageware,367,tcp
qbikgdp,368,udp
qbikgdp,368,tcp
rpc2portmap,369,udp
rpc2portmap,369,tcp
codaauth2,370,udp
codaauth2,370,tcp
clearcase,371,udp
clearcase,371,tcp
ulistproc,372,udp
ulistproc,372,tcp
hassle,375,udp
hassle,375,tcp
nip,376,udp
nip,376,tcp
tnETOS,377,udp
tnETOS,377,tcp
dsETOS,378,udp
dsETOS,378,tcp
is99c,379,udp
is99c,379,tcp
is99s,380,udp
is99s,380,tcp
arns,384,udp
arns,384,tcp
asa,386,udp
asa,386,tcp
aurp,387,udp
aurp,387,tcp
ldap,389,udp
ldap,389,tcp
uis,390,udp
uis,390,tcp
meta5,393,udp
meta5,393,tcp
netcp,395,udp
netcp,395,tcp
mptn,397,udp
mptn,397,tcp
kryptolan,398,udp
kryptolan,398,tcp
ups,401,udp
ups,401,tcp
genie,402,udp
genie,402,tcp
decap,403,udp
decap,403,tcp
nced,404,udp
nced,404,tcp
ncld,405,udp
ncld,405,tcp
imsp,406,udp
imsp,406,tcp
timbuktu,407,udp
timbuktu,407,tcp
decladebug,410,udp
decladebug,410,tcp
rmt,411,udp
rmt,411,tcp
smsp,413,udp
smsp,413,tcp
infoseek,414,udp
infoseek,414,tcp
bnet,415,udp
bnet,415,tcp
silverplatter,416,udp
silverplatter,416,tcp
onmux,417,udp
onmux,417,tcp
ariel1,419,udp
ariel1,419,tcp
smpte,420,udp
smpte,420,tcp
ariel2,421,udp
ariel2,421,tcp
ariel3,422,udp
ariel3,422,tcp
smartsdp,426,udp
smartsdp,426,tcp
svrloc,427,udp
svrloc,427,tcp
ocs_cmu,428,udp
ocs_cmu,428,tcp
ocs_amu,429,udp
ocs_amu,429,tcp
utmpsd,430,udp
utmpsd,430,tcp
utmpcd,431,udp
utmpcd,431,tcp
iasd,432,udp
iasd,432,tcp
nnsp,433,udp
nnsp,433,tcp
comscm,437,udp
comscm,437,tcp
dsfgw,438,udp
dsfgw,438,tcp
dasp,439,udp
dasp,439,tcp
sgcp,440,udp
sgcp,440,tcp
cvc_hostd,442,udp
cvc_hostd,442,tcp
https,443,udp
https,443,tcp
snpp,444,udp
snpp,444,tcp
tserver,450,udp
tserver,450,tcp
creativeserver,453,udp
creativeserver,453,tcp
contentserver,454,udp
contentserver,454,tcp
creativepartnr,455,udp
creativepartnr,455,tcp
scohelp,457,udp
scohelp,457,tcp
appleqtc,458,udp
appleqtc,458,tcp
skronk,460,udp
skronk,460,tcp
datasurfsrv,461,udp
datasurfsrv,461,tcp
datasurfsrvsec,462,udp
datasurfsrvsec,462,tcp
alpes,463,udp
alpes,463,tcp
kpasswd,464,udp
kpasswd,464,tcp
igmpv3lite,465,udp
urd,465,tcp
photuris,468,udp
photuris,468,tcp
rcp,469,udp
rcp,469,tcp
mondex,471,udp
mondex,471,tcp
tcpnethaspsrv,475,udp
tcpnethaspsrv,475,tcp
ss7ns,477,udp
ss7ns,477,tcp
spsc,478,udp
spsc,478,tcp
iafserver,479,udp
iafserver,479,tcp
iafdbase,480,udp
iafdbase,480,tcp
ph,481,udp
ph,481,tcp
ulpnet,483,udp
ulpnet,483,tcp
powerburst,485,udp
powerburst,485,tcp
avian,486,udp
avian,486,tcp
saft,487,udp
saft,487,tcp
intecourier,495,udp
intecourier,495,tcp
dantz,497,udp
dantz,497,tcp
siam,498,udp
siam,498,tcp
isakmp,500,udp
isakmp,500,tcp
stmf,501,udp
stmf,501,tcp
intrinsa,503,udp
intrinsa,503,tcp
citadel,504,udp
citadel,504,tcp
ohimsrv,506,udp
ohimsrv,506,tcp
crs,507,udp
crs,507,tcp
xvttp,508,udp
xvttp,508,tcp
snare,509,udp
snare,509,tcp
fcp,510,udp
fcp,510,tcp
passgo,511,udp
passgo,511,tcp
exec,512,tcp
comsat,512,udp
login,513,tcp
who,513,udp
shell,514,tcp
syslog,514,udp
printer,515,udp
printer,515,tcp
videotex,516,udp
videotex,516,tcp
talk,517,tcp
talk,517,udp
ntalk,518,udp
ntalk,518,tcp
utime,519,udp
utime,519,tcp
router,520,udp
efs,520,tcp
ripng,521,udp
ripng,521,tcp
ulp,522,udp
ulp,522,tcp
ncp,524,udp
ncp,524,tcp
timed,525,udp
timed,525,tcp
tempo,526,udp
tempo,526,tcp
stx,527,udp
stx,527,tcp
custix,528,udp
custix,528,tcp
courier,530,udp
courier,530,tcp
conference,531,udp
conference,531,tcp
netnews,532,udp
netnews,532,tcp
netwall,533,udp
netwall,533,tcp
iiop,535,udp
iiop,535,tcp
nmsp,537,udp
nmsp,537,tcp
gdomap,538,udp
gdomap,538,tcp
uucp,540,udp
uucp,540,tcp
commerce,542,udp
commerce,542,tcp
klogin,543,udp
klogin,543,tcp
kshell,544,udp
kshell,544,tcp
appleqtcsrvr,545,udp
appleqtcsrvr,545,tcp
afpovertcp,548,udp
afpovertcp,548,tcp
idfp,549,udp
idfp,549,tcp
cybercash,551,udp
cybercash,551,tcp
pirp,553,udp
pirp,553,tcp
rtsp,554,udp
rtsp,554,tcp
dsf,555,udp
dsf,555,tcp
remotefs,556,udp
remotefs,556,tcp
sdnskmp,558,udp
sdnskmp,558,tcp
teedtap,559,udp
teedtap,559,tcp
rmonitor,560,udp
rmonitor,560,tcp
monitor,561,udp
monitor,561,tcp
chshell,562,udp
chshell,562,tcp
nntps,563,udp
nntps,563,tcp
9pfs,564,udp
9pfs,564,tcp
whoami,565,udp
whoami,565,tcp
streettalk,566,udp
streettalk,566,tcp
meter,570,udp
meter,570,tcp
meter,571,udp
meter,571,tcp
sonar,572,udp
sonar,572,tcp
vemmi,575,udp
vemmi,575,tcp
ipcd,576,udp
ipcd,576,tcp
vnas,577,udp
vnas,577,tcp
ipdd,578,udp
ipdd,578,tcp
decbsrv,579,udp
decbsrv,579,tcp
bdp,581,udp
bdp,581,tcp
keyserver,584,udp
keyserver,584,tcp
submission,587,udp
submission,587,tcp
cal,588,udp
cal,588,tcp
eyelink,589,udp
eyelink,589,tcp
tpip,594,udp
tpip,594,tcp
smsd,596,udp
smsd,596,tcp
ptcnameservice,597,udp
ptcnameservice,597,tcp
acp,599,udp
acp,599,tcp
ipcserver,600,udp
ipcserver,600,tcp
idxp,603,udp
idxp,603,tcp
tunnel,604,udp
tunnel,604,tcp
urm,606,udp
urm,606,tcp
nqs,607,udp
nqs,607,tcp
sshell,614,udp
sshell,614,tcp
collaborator,622,udp
collaborator,622,tcp
cryptoadmin,624,udp
cryptoadmin,624,tcp
dec_dlm,625,udp
dec_dlm,625,tcp
asia,626,udp
asia,626,tcp
qmqp,628,udp
qmqp,628,tcp
rda,630,udp
rda,630,tcp
ipp,631,udp
ipp,631,tcp
bmpp,632,udp
bmpp,632,tcp
servstat,633,udp
servstat,633,tcp
ginad,634,udp
ginad,634,tcp
rlzdbase,635,udp
rlzdbase,635,tcp
ldaps,636,udp
ldaps,636,tcp
lanserver,637,udp
lanserver,637,tcp
msdp,639,udp
msdp,639,tcp
repcmd,641,udp
repcmd,641,tcp
sanity,643,udp
sanity,643,tcp
dwr,644,udp
dwr,644,tcp
pssc,645,udp
pssc,645,tcp
ldp,646,udp
ldp,646,tcp
rrp,648,udp
rrp,648,tcp
obex,650,udp
obex,650,tcp
repscmd,653,udp
repscmd,653,tcp
aodv,654,udp
aodv,654,tcp
tinc,655,udp
tinc,655,tcp
spmp,656,udp
spmp,656,tcp
rmc,657,udp
rmc,657,tcp
tenfold,658,udp
tenfold,658,tcp
hap,661,udp
hap,661,tcp
pftp,662,udp
pftp,662,tcp
purenoise,663,udp
purenoise,663,tcp
mdqs,666,udp
mdqs,666,tcp
disclose,667,udp
disclose,667,tcp
mecomm,668,udp
mecomm,668,tcp
meregister,669,udp
meregister,669,tcp
cimplex,673,udp
cimplex,673,tcp
acap,674,udp
acap,674,tcp
dctp,675,udp
dctp,675,tcp
vpp,677,udp
vpp,677,tcp
mrm,679,udp
mrm,679,tcp
xfr,682,udp
xfr,682,tcp
asipregistry,687,udp
asipregistry,687,tcp
nmap,689,udp
nmap,689,tcp
vatp,690,udp
vatp,690,tcp
connendp,693,udp
connendp,693,tcp
rushd,696,udp
rushd,696,tcp
uuidgen,697,udp
uuidgen,697,tcp
olsr,698,udp
olsr,698,tcp
accessnetwork,699,udp
accessnetwork,699,tcp
epp,700,tcp
epp,700,udp
lmp,701,tcp
lmp,701,udp
elcsd,704,udp
elcsd,704,tcp
agentx,705,udp
agentx,705,tcp
silc,706,udp
silc,706,tcp
tbrpf,712,tcp
tbrpf,712,udp
netviewdm1,729,udp
netviewdm1,729,tcp
netviewdm2,730,udp
netviewdm2,730,tcp
netviewdm3,731,udp
netviewdm3,731,tcp
netgw,741,udp
netgw,741,tcp
netrcs,742,udp
netrcs,742,tcp
flexlm,744,udp
flexlm,744,tcp
loadav,750,udp
rfile,750,tcp
pump,751,udp
pump,751,tcp
qrh,752,udp
qrh,752,tcp
rrh,753,udp
rrh,753,tcp
tell,754,udp
tell,754,tcp
nlogin,758,udp
nlogin,758,tcp
con,759,udp
con,759,tcp
ns,760,udp
ns,760,tcp
rxe,761,udp
rxe,761,tcp
quotad,762,udp
quotad,762,tcp
cycleserv,763,udp
cycleserv,763,tcp
omserv,764,udp
omserv,764,tcp
webster,765,udp
webster,765,tcp
phonebook,767,udp
phonebook,767,tcp
vid,769,udp
vid,769,tcp
cadlock,770,udp
cadlock,770,tcp
rtip,771,udp
rtip,771,tcp
cycleserv2,772,udp
cycleserv2,772,tcp
notify,773,udp
submit,773,tcp
acmaint_dbd,774,udp
rpasswd,774,tcp
acmaint_transd,775,udp
entomb,775,tcp
wpages,776,udp
wpages,776,tcp
wpgs,780,udp
wpgs,780,tcp
mdbs_daemon,800,udp
mdbs_daemon,800,tcp
device,801,udp
device,801,tcp
netconfsoaphttp,832,tcp
netconfsoaphttp,832,udp
netconfsoapbeep,833,tcp
netconfsoapbeep,833,udp
gdoi,848,udp
gdoi,848,tcp
iscsi,860,udp
iscsi,860,tcp
rsync,873,udp
rsync,873,tcp
iclcnet_svinfo,887,udp
iclcnet_svinfo,887,tcp
accessbuilder,888,udp
accessbuilder,888,tcp
cddbp,888,tcp
omginitialrefs,900,udp
omginitialrefs,900,tcp
smpnameres,901,udp
smpnameres,901,tcp
kink,910,tcp
kink,910,udp
ftps,990,udp
ftps,990,tcp
nas,991,udp
nas,991,tcp
telnets,992,udp
telnets,992,tcp
imaps,993,udp
imaps,993,tcp
ircs,994,udp
ircs,994,tcp
pop3s,995,udp
pop3s,995,tcp
vsinet,996,udp
vsinet,996,tcp
maitrd,997,udp
maitrd,997,tcp
puparp,998,udp
busboy,998,tcp
applix,999,udp
garcon,999,tcp
cadlock2,1000,udp
cadlock2,1000,tcp
surf,1010,udp
surf,1010,tcp
exp1,1021,tcp
exp1,1021,udp
exp2,1022,tcp
exp2,1022,udp
blackjack,1025,udp
blackjack,1025,tcp
cap,1026,udp
cap,1026,tcp
exosee,1027,udp
exosee,1027,tcp
iad1,1030,udp
iad1,1030,tcp
iad2,1031,udp
iad2,1031,tcp
iad3,1032,udp
iad3,1032,tcp
activesync,1034,udp
activesync,1034,tcp
mxxrlogin,1035,udp
mxxrlogin,1035,tcp
ams,1037,tcp
ams,1037,udp
mtqp,1038,tcp
mtqp,1038,udp
sbl,1039,tcp
sbl,1039,udp
netarx,1040,udp
netarx,1040,tcp
afrog,1042,tcp
afrog,1042,udp
dcutility,1044,tcp
dcutility,1044,udp
fpitp,1045,udp
fpitp,1045,tcp
wfremotertm,1046,tcp
wfremotertm,1046,udp
neod1,1047,udp
neod1,1047,tcp
neod2,1048,udp
neod2,1048,tcp
cma,1050,udp
cma,1050,tcp
ddt,1052,udp
ddt,1052,tcp
brvread,1054,udp
brvread,1054,tcp
ansyslmd,1055,udp
ansyslmd,1055,tcp
vfo,1056,udp
vfo,1056,tcp
startron,1057,udp
startron,1057,tcp
nim,1058,udp
nim,1058,tcp
nimreg,1059,udp
nimreg,1059,tcp
polestar,1060,udp
polestar,1060,tcp
kiosk,1061,udp
kiosk,1061,tcp
veracity,1062,udp
veracity,1062,tcp
kyoceranetdev,1063,udp
kyoceranetdev,1063,tcp
jstel,1064,udp
jstel,1064,tcp
syscomlan,1065,udp
syscomlan,1065,tcp
instl_boots,1067,udp
instl_boots,1067,tcp
instl_bootc,1068,udp
instl_bootc,1068,tcp
gmrupdateserv,1070,udp
gmrupdateserv,1070,tcp
cardax,1072,udp
cardax,1072,tcp
bridgecontrol,1073,udp
bridgecontrol,1073,tcp
fastechnologlm,1074,udp
fastechnologlm,1074,tcp
rdrmshc,1075,udp
rdrmshc,1075,tcp
imgames,1077,udp
imgames,1077,tcp
asprovatalk,1079,udp
asprovatalk,1079,tcp
socks,1080,udp
socks,1080,tcp
pvuniwien,1081,udp
pvuniwien,1081,tcp
webobjects,1085,udp
webobjects,1085,tcp
obrpd,1092,udp
obrpd,1092,tcp
proofd,1093,udp
proofd,1093,tcp
rootd,1094,udp
rootd,1094,tcp
nicelink,1095,udp
nicelink,1095,tcp
cnrprotocol,1096,udp
cnrprotocol,1096,tcp
sunclustermgr,1097,udp
sunclustermgr,1097,tcp
rmiactivation,1098,udp
rmiactivation,1098,tcp
rmiregistry,1099,udp
rmiregistry,1099,tcp
mctp,1100,udp
mctp,1100,tcp
xrl,1104,udp
xrl,1104,tcp
ftranhc,1105,udp
ftranhc,1105,tcp
lmsocialserver,1111,udp
lmsocialserver,1111,tcp
icp,1112,udp
icp,1112,tcp
sacred,1118,tcp
sacred,1118,udp
bnetgame,1119,tcp
bnetgame,1119,udp
bnetfile,1120,tcp
bnetfile,1120,udp
rmpp,1121,tcp
rmpp,1121,udp
murray,1123,udp
murray,1123,tcp
hpvmmcontrol,1124,tcp
hpvmmcontrol,1124,udp
hpvmmagent,1125,tcp
hpvmmagent,1125,udp
hpvmmdata,1126,tcp
hpvmmdata,1126,udp
